Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,359.640015,361.720001,355.549988,358.799988,358.547119,14688405
2020-05-21,362.059998,362.096191,349.500000,351.010010,350.762665,19026741
2020-05-22,353.010010,363.720001,348.529999,361.049988,360.795593,25969125
2020-05-26,366.269989,367.269989,346.880005,348.709991,348.464233,19269476
2020-05-27,345.000000,345.309998,319.869995,341.010010,340.769714,29397306
2020-05-28,336.489990,350.420013,335.170013,339.480011,339.240814,18403204
2020-05-29,342.179993,355.019989,339.399994,355.019989,354.769836,18647994
2020-06-01,353.329987,353.630005,347.579987,352.250000,352.001770,9762775
2020-06-02,351.850006,353.489990,346.320007,353.010010,352.761261,9783014
2020-06-03,352.890015,354.649994,348.000000,350.779999,350.532776,9135972
2020-06-04,349.119995,357.730011,347.100006,350.660004,350.452850,10606960
2020-06-05,351.779999,359.880005,348.319214,356.799988,356.589233,12043651
2020-06-08,355.089996,355.584991,347.429993,352.200012,351.991943,9693431
2020-06-09,352.000000,364.389893,350.049988,361.839996,361.626282,11712221
2020-06-10,366.709991,380.000000,366.140015,374.670013,374.448669,15804537
2020-06-11,366.000000,370.450012,351.440002,351.850006,351.642181,14591256
2020-06-12,366.500000,367.489990,348.133789,357.299988,357.088928,14272704
2020-06-15,352.609985,367.290009,349.750000,366.950012,366.733246,10000054
2020-06-16,369.000000,370.670013,353.550110,362.739990,362.525726,13392875
2020-06-17,364.549988,371.959991,362.809998,369.440002,369.221741,10207641
2020-06-18,369.079987,371.299988,364.579987,368.720001,368.502197,6360238
2020-06-19,369.700012,377.799988,369.093506,370.450012,370.231201,13104013
2020-06-22,372.000000,381.250000,370.932007,381.070007,380.844879,9961662
2020-06-23,382.040009,385.700012,376.299988,378.000000,377.776733,9377685
2020-06-24,379.049988,382.255188,365.780212,369.420013,369.201752,11234272
2020-06-25,374.230011,380.200012,367.290009,379.600006,379.375763,9401800
2020-06-26,380.000000,380.000000,365.000000,366.200012,365.983673,14802144
2020-06-29,366.790009,368.179993,356.000000,368.000000,367.782654,8556203
2020-06-30,372.559692,381.049988,370.660095,379.910004,379.685608,9197300
2020-07-01,380.829987,383.026886,376.519989,381.200012,380.974823,8166170
2020-07-02,385.559998,389.500000,383.130005,384.489990,384.262878,9101352
2020-07-06,389.670013,396.350006,388.500000,393.570007,393.337524,7897343
2020-07-07,397.850006,402.799988,394.029999,394.869995,394.636749,8944993
2020-07-08,399.750000,409.000000,398.619995,408.640015,408.398590,9137013
2020-07-09,415.209991,422.799988,409.339996,420.359985,420.111633,12363680
2020-07-10,423.549988,426.209991,415.149994,419.170013,418.922424,12441869
2020-07-13,423.799988,431.689911,401.000000,402.089996,401.852478,11426874
2020-07-14,403.000000,416.109985,391.420013,415.079987,414.834778,13566855
2020-07-15,416.570007,417.320007,402.230011,409.089996,408.848328,10099623
2020-07-16,400.600006,408.269897,395.820007,405.390015,405.150574,8624118
2020-07-17,409.019989,409.940002,403.510101,408.059998,407.818939,6657116
2020-07-20,410.970001,421.250000,406.269989,420.429993,420.181610,7121271
2020-07-21,420.519989,422.397095,411.470001,413.140015,412.895996,6941671
2020-07-22,414.700012,424.100006,411.662292,417.549988,417.303345,9182271
2020-07-23,418.000000,421.880005,401.250000,405.190002,404.950684,10291532
2020-07-24,395.000000,414.589996,391.079987,407.779999,407.539093,11832300
2020-07-27,409.290009,417.670013,408.709991,416.859985,416.613770,7303255
2020-07-28,414.970001,415.279999,408.369995,408.619995,408.378571,6790901
2020-07-29,415.631989,420.649994,413.880005,418.619995,418.372711,7112692
2020-07-30,415.000000,424.921814,411.809998,424.559998,424.309204,7722004
2020-07-31,422.529999,430.660004,417.320007,424.589996,424.339172,9657150
2020-08-03,429.299988,443.950012,428.609985,440.410004,440.149872,10325456
2020-08-04,442.000000,449.109985,436.240112,449.109985,448.844635,7758390
2020-08-05,449.760010,454.867188,446.649994,451.470001,451.203308,6262493
2020-08-06,453.989990,454.320007,447.149994,453.420013,453.152130,6107892
2020-08-07,452.500000,460.190002,441.500000,447.980011,447.715393,8562899
2020-08-10,453.369995,456.329987,434.260010,446.600006,446.336212,10694898
2020-08-11,442.950012,445.470001,431.829987,434.000000,433.743652,8862763
2020-08-12,439.630005,458.679993,438.329987,457.609985,457.339661,11623573
2020-08-13,461.839996,468.869995,454.230011,457.720001,457.449646,9361489
2020-08-14,461.200012,468.190002,457.619995,462.559998,462.286743,9160904
2020-08-17,474.049988,496.390015,472.687592,493.480011,493.188477,15532523
2020-08-18,498.000000,499.839996,483.450012,490.429993,490.140320,12586155
2020-08-19,491.859985,492.600006,483.920013,485.540009,485.253174,15565558
2020-08-20,479.000000,495.000000,475.149994,485.640015,485.353149,23034656
2020-08-21,488.070007,512.348022,487.806396,507.339996,507.040283,24996738
2020-08-24,515.349976,516.500000,500.299988,508.809998,508.509399,12264105
2020-08-25,505.230011,510.450012,502.950012,510.000000,509.698730,7226920
2020-08-26,511.969391,514.739624,507.109985,510.920013,510.618195,8031073
2020-08-27,511.260010,514.000000,502.657288,505.130005,504.831635,7940073
2020-08-28,506.996490,525.919983,505.700012,525.909973,525.599304,13428963
2020-08-31,527.311401,543.000000,521.510010,534.979980,534.663940,12521030
2020-09-01,539.200012,559.750000,537.460022,552.840027,552.554688,12811849
2020-09-02,588.150024,589.069885,556.000000,573.859985,573.563904,21850322
2020-09-03,553.145386,555.380005,515.150024,520.619995,520.351379,23628151
2020-09-04,511.350006,527.000000,468.190002,504.899994,504.639435,36592071
2020-09-08,469.380005,502.000000,468.170013,476.519989,476.274078,19893237
2020-09-09,496.000000,512.369995,489.269989,508.600006,508.337555,18404957
2020-09-10,519.570007,522.609985,486.679993,492.470001,492.215881,17467111
2020-09-11,499.420013,506.100006,475.829987,486.579987,486.328918,15923172
2020-09-14,523.239990,532.599976,505.245697,514.890015,514.624329,30043624
2020-09-15,531.200012,531.950012,513.109985,519.640015,519.371887,18188914
2020-09-16,518.289978,523.710022,500.549988,500.579987,500.321686,13939985
2020-09-17,485.289398,503.589996,481.390015,498.540009,498.282776,19812794
2020-09-18,503.750000,505.299988,479.549988,487.570007,487.318390,17461548
2020-09-21,477.000000,500.899994,476.179993,500.690002,500.431641,18026061
2020-09-22,503.000000,505.919891,486.221985,505.510010,505.249176,16161302
2020-09-23,503.019989,509.079987,483.170013,484.950012,484.699799,16175308
2020-09-24,482.890015,502.779999,480.559998,493.920013,493.665131,18281008
